NPG,NPxG,NPxG90,NPxG90xA90,a,apps,goals,id,min,number,player,team,xA,xA90,xG,xG90,xG90xA90,xGBuildup,xGBuildup90,xGChain,xGChain90
0,0.0,0.0,0.0,0,9,0,5603,810,228,Aaron Ramsdale,Southampton,0.0,0.0,0.0,0.0,0.0,0.645891822874546,0.07176575809717178,0.645891822874546,0.07176575809717178
0,0.9084644094109535,0.14652651764692798,0.14652651764692798,0,7,0,5712,558,229,Diego Carlos,Aston Villa,0.0,0.0,0.9084644094109535,0.14652651764692798,0.14652651764692798,1.9794349111616611,0.319263695348655,1.9794349111616611,0.319263695348655
0,0.016365941613912582,0.006787717720055909,0.010194304326231578,0,3,0,5722,217,230,Ibrahim Sangare,Nottingham Forest,0.008213658817112446,0.0034065866061756688,0.016365941613912582,0.006787717720055909,0.010194304326231578,0.639729768037796,0.26532571024609053,0.6643093824386597,0.2755200203662644
0,0.0,0.0,0.0,0,3,0,5789,25,231,Boubacar Kamara,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.43475569412112236,0.03660244384555754,0.3208671446272823,4,12,0,5956,1069,232,Youri Tielemans,Aston Villa,3.3764329459518194,0.2842647007817247,1.1959245316684246,0.10068588199266437,0.3849505827743891,7.097679015249014,0.5975595054933688,8.739262335002422,0.7357657718898204
0,1.2439749706536531,0.10785910150176184,0.11985984420931409,1,12,0,5973,1038,233,Kenny Tete,Fulham,0.13840856589376926,0.012000742707552248,1.2439749706536531,0.10785910150176184,0.11985984420931409,3.816023074090481,0.3308690526668047,4.375357121229172,0.3793662243840322
0,0.3241162896156311,0.37398033417188203,1.161510944366455,1,5,0,6026,78,234,Richarlison,Tottenham,0.6825265288352966,0.787530610194573,0.3241162896156311,0.37398033417188203,1.161510944366455,0.0,0.0,0.6825265288352966,0.787530610194573
0,0.0,0.0,0.0,0,3,0,6034,20,235,Philip Billing,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.03709999844431877,0.16694999299943447,0.03709999844431877,0.16694999299943447
0,0.007854734547436237,0.0007176914814916359,0.022837345720018228,0,11,0,6042,985,236,Jan Bednarek,Southampton,0.24208732694387436,0.02211965423852659,0.007854734547436237,0.0007176914814916359,0.022837345720018228,3.5879162326455116,0.3278299095818234,3.6488070832565427,0.3333935406021207
0,0.0,0.0,0.024322207250139293,0,5,0,6044,204,237,Charlie Taylor,Southampton,0.05513033643364906,0.024322207250139293,0.0,0.0,0.024322207250139293,0.5846286118030548,0.2579243875601712,0.6397589445114136,0.2822465931668001
0,0.424126461148262,0.0527229026289276,0.09891680884303639,0,9,0,6048,724,238,Lewis Dunk,Brighton,0.3716043122112751,0.046193906214108786,0.424126461148262,0.0527229026289276,0.09891680884303639,3.619103368371725,0.4498885402672034,3.6373906694352627,0.45216182354858236
0,0.0,0.0,0.01676861320932706,1,12,0,6054,1080,239,Ederson,Manchester City,0.20122335851192474,0.01676861320932706,0.0,0.0,0.01676861320932706,2.864592419937253,0.2387160349947711,2.864592419937253,0.2387160349947711
